상호,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,2020년 개점,2020년 폐지,2020년 명의변경,2019년 개점,2019년 폐지,2019년 명의변경,2018년 개점,2018년 폐지,2018년 명의변경,2017년 개점,2017년 폐지,2017년 명의변경,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,
(주)제이엔에프,정판재,기타 외식,2015.10.30,2015.11.01,053  -  267  -  4539,00  -  0000  -  0000,우 : 41941 대구광역시 중구 동성로3길 58-8 4층 (삼덕동1가),법인,170111  -  0583907,395  -  88  -  00338,0,0,0,0,0,0,1156666,964016,192650,653198,-103402,-142908,540838,205280,335558,1026900,4944,10174,534854,209469,325385,1477181,56251,15438,0,0,0,0,10,0,0,5,0,3,12,1,0,0,0,
(주)이엘,이정희 외 1인,음료 (커피 외),2019.08.13,2019.08.13,02  -  558  -  0608,02  -  558  -  0604,우 : 14086 경기도 안양시 만안구 전파로62번길 8 1층,법인,131411  -  0439846,578  -  87  -  01371,0,0,0,0,0,0,817876,812175,5701,0,-88005,-87824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
대맛담,임희윤,한식,..,2020.10.01,010  -  9566  -  9507,  -    -  ,우 : 28317 충청북도 청주시 청원구 율량로 135 604동 1504호,개인,  -  ,688  -  67  -  00410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
엄마밥상,이규만,한식,..,2020.09.29,031  -  502  -  0815,000  -  0000  -  0000,우 : 15497 경기도 안산시 상록구 천문2길 6 1층 103호,개인,  -  ,601  -  07  -  67235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
양심,김혜선,한식,..,2020.06.18,041  -  548  -  0037,041  -  549  -  0059,우 : 31494 충청남도 아산시 배방읍 월천2길 8-16 101호,개인,  -  ,781  -  18  -  01291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)계주,김미화,치킨,2020.07.22,2020.08.04,00  -  1577  -  0666,033  -  645  -  2223,우 : 25929 강원도 삼척시 남양안길 11-8 (남양동),법인,144661  -  0026561,459  -  88  -  01795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,4,0,0,0,0,0,
(주)분식이,이태훈,분식,2016.06.13,2016.06.13,02  -  2652  -  2005,02  -  2651  -  3005,우 : 10023 경기도 김포시 월곶면 비석동로50번길 5-1 2동,법인,124411  -  0178948,367  -  86  -  00396,0,0,0,0,0,0,205401,303293,-97892,1492188,-350597,-388816,372911,81986,290925,624618,-432640,-446628,800043,62489,737554,505210,-480150,-479154,0,0,0,23,0,5,15,2,0,3,0,0,0,0,0,
부릉카페,강금경,커피,..,2020.06.24,  -  0000  -  0000,000  -  0000  -  0000,우 : 16512 경기도 수원시 영통구 법조로149번길 62 101호(하동),개인,  -  ,445  -  58  -  00392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)에스디인터내셔날,김계성,커피,1990.10.24,1999.01.01,031  -  761  -  5012,031  -  761  -  5014,우 : 12791 경기도 광주시 청석로 288-10 1층,법인,110111  -  0727250,211  -  81  -  67876,0,0,0,0,0,0,54864988,45005509,9859479,66648212,472529,-714049,49324673,38751145,10573528,60099789,1640651,2216221,50235526,41878219,8357307,57317800,3099744,-6364515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)블럭제빵소,박재영,제과제빵,2017.08.22,2017.09.04,031  -  1833  -  9874,00  -  000  -  0000,"우 : 13587 경기도 성남시 분당구 불정로376번길 31 604동 216호 (서현동, 효자촌 주상복합)",법인,131111  -  0491230,342  -  88  -  01032,0,0,0,0,0,0,825878,436284,389594,2182148,-92086,-76366,881431,415470,465961,3653465,208662,186489,1241841,962370,279471,1635126,197084,179471,0,0,0,2,30,2,26,14,4,43,1,3,0,0,0,
(주)강경푸드,강경묵,기타 외식,2018.01.17,2018.01.02,02  -  1522  -  4085,00  -  000  -  0000,"우 : 11492 경기도 양주시 부흥로 1932 5층 213호(광사동, 스카이프라자)",법인,280211  -  0175767,312  -  87  -  01015,0,0,0,0,0,0,63216,95887,-32671,117078,13001,13185,10580,56436,-45856,228917,-46094,-46856,0,0,0,0,0,0,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,
비범한녀석들,박민수,기타 외식,..,2018.06.18,0  -  1833  -  2952,0507  -  705  -  5692,"우 : 15477 경기도 안산시 단원구 광덕1로 195 404호(고잔동, 광장타워)",개인,  -  ,694  -  75  -  00176,0,0,0,0,0,0,0,0,0,61632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)엠에스에프앤비,김태유,한식,2020.10.29,2020.11.06,031  -  429  -  7054,0  -  0  -  0,"우 : 14067 경기도 안양시 동안구 시민대로 230 비동 1401호 (관양동, 평촌아크로타워)",법인,134111  -  0565115,223  -  86  -  01945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,0,0,1,0,0,0,0,0,
(주)바르다프랜차이즈,이주현,기타 외식,2020.07.06,2020.07.20,02  -  1661  -  2779,031  -  248  -  0179,"우 : 16298 경기도 수원시 장안구 경수대로994번길 31 광교프라자 2층, 203호",법인,135811  -  0396672,827  -  88  -  01886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
(주)에이알피그룹,"김종호, 함재승, 홍기호",한식,2020.04.10,2020.04.05,  -  1522  -  0405,00  -  00  -  00,우 : 11693 경기도 의정부시 호국로1336번길 39-5 201호,법인,280211  -  0207437,637  -  87  -  01796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)대령숙수,오기석,기타 외식,2020.03.17,2020.03.17,00  -  1877  -  7507,00  -  000  -  0000,우 : 16898 경기도 용인시 기흥구 죽전로43번길 11 보정동,법인,134511  -  0445070,285  -  88  -  01568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,
