업종,브랜드,상호,평균매출액
한식,인생극장,(주)에이치티코리아,104096
한식,송담추어탕,(주)송담,337340
한식,놀부 화덕족발,(주)놀부,120929
한식,놀부부대찌개&철판구이,(주)놀부,215597
한식,놀부보쌈,(주)놀부,224757
한식,박가부대,원앤원(주),230572
한식,원할머니,원앤원(주),482826
한식,육회한 감전통닭,(주)스타프렌차이즈,416200
한식,장혁민의 부대찌개,오름푸드,466064
한식,월수금,월수금,296373
한식,고봉민김밥人,케이비엠,208185
한식,다담뜰 한식뷔페,(주)다담뜰,1489639
한식,조이박 꽃도새기,조이박꽃도새기용호점,371586
한식,족장,(주)족장에프앤비,205697
한식,마린보이동태탕.찜.코다리1번가,마린보이유통,91169
한식,육시리,티티씨에프,736403
한식,쿡친,마시굿,168567
한식,조춘식동태탕찜,(주)조앤비컨설팅,224954
한식,조춘식동갑이네,(주)조앤비컨설팅,233118
한식,날마다대박나는집,(주)명진푸드,828898
한식,육회본가,(주)본가에프앤비,491112
한식,노걸대,농업회사법인(주)노걸대,349344
한식,동서네낙지,(유)동서네낙지본점,248516
한식,본가어탕,본가어탕,304339
한식,천하제일왕족발,(주)훌랄라,34210
한식,홍춘천,(주)훌랄라,68166
한식,신의주찹쌀순대,(주)거성푸드,404345
한식,교동전선생,(주)교동,155286
한식,두찜,(주)기영에프앤비,274652
한식,금강산감자탕,농업회사법인구삐(주),192704
한식,불막열삼,(주)꿈을실현하는사람들,170289
한식,꽃마름,(주)예울에프씨,728496
한식,메고지고,(주)라이스파이,338325
한식,반할맛으로 값어치하는 소고깃집,(주)끼니,705868
한식,미스터오징어,미스앤미스터㈜,791120
한식,남다른감자탕(男다른감子탕),(주)보하라,683751
한식,현풍닭칼국수,신칼,268277
한식,철판요리포차판,(주)와이낫,98906
한식,세광 교대 이층집,(주)세광그린푸드리테일,898828
한식,얌샘김밥,(주)얌샘,292606
한식,청양일초,(주)청해,300409
한식,착한돼지,(주)착한푸드,779916
한식,인기명,(주)인에프앤씨,819724
한식,바우네나주곰탕,(주)지에프포유,372422
한식,홍익궁중전통육개장,(주)홍익푸드,425740
한식,양평뚝배기해장국,(주)뉴서진식품,363610
한식,미사리밀빛초계국수,(주)밀빛,523919
한식,삼겹구이,(주)미래에프씨,267538
한식,등뼈가,(주)푸드원,225828
한식,청진동해장국,엘푸드,209573
한식,마녀가 만든 족발,제이에이치푸드(주),315345
한식,큰맘할매순대국,(주)보강엔터프라이즈,292837
한식,참이맛감자탕,(주)참이맛,386017
한식,유가네닭갈비,(주)바이올푸드글로벌,509375
한식,소담촌,(주)웰빙코리아,744066
한식,오복미역,(주)오복푸드,959648
한식,만만코코로,(주)만만연구소,649277
한식,대구반야월막창,(주)대구반야월막창,178641
한식,화평동왕냉면,해피브릿지협동조합,299826
한식,왔쏘,(주)다드림에프앤비,822591
한식,맛찬들왕소금구이,(주)맛찬들,1258632
한식,방일해장국,(주)방일에프씨,218317
한식,진성아구찜,진성,197367
한식,덤덤덤쪽갈비,디앤디코리아,326585
한식,육쌈냉면,(주)육쌈,396972
한식,제주도야지판,(주)이바돔,727777
한식,현대옥,현대옥프랜차이즈,448301
한식,대박통,대박통,221037
한식,망향비빔국수,블루밀,480346
한식,청기와뼈다귀해장국,청기와뼈다귀해장국,641567
한식,하수련주왕산삼계탕,주왕산삼계탕부산경남본부,265649
한식,족발쌀롱,족발쌀롱,197918
한식,만복한쭈꾸미낙지볶음,만복이쭈꾸미낙지볶음,916195
한식,술낭구,DONGJUND.home,366410
한식,박수근네 온천골,온천골푸드,364729
한식,떡담,라이스파이,260632
한식,바담 코다리네,(주)아토에프앤비,492000
한식,명장복집&24시명장복국,명장복집,469666
한식,신사부대찌개&품격삼겹살,신사부대찌개&품격삼겹살,248291
한식,맵꼬만명태,해달에프앤씨,204248
한식,논골집,정준유통,508976
한식,계경순대국,지강에프앤비(주),351346
한식,장도뚝배기,지강에프앤비(주),255232
한식,다시오고싶은집 이명숙 양평해장국,조이식품,218109
한식,오봉도시락,(주)오색만찬,96732
한식,용추골미궁순대,칠연푸드시스템,291994
한식,대장부,엠투(M2)컴퍼니,64154
한식,만나고쪽갈비가,맛있는에프앤비(F&B),237535
한식,시골통돼지볶음,코아FS,239090
한식,싱글벙글복어,싱글벙글,167025
한식,콩시루,시루유통,341275
한식,화덕초대파불고기,프랜차이즈새늘,399188
한식,단물곤물,단물곤물,221368
한식,로꼬로꼬,로꼬로꼬,481078
한식,화성옥,화성옥,273420
한식,이화수전통육개장,(주)에브릿,615761
한식,큰돈쪽쪽갈비,큰돈쪽쪽갈비,254000
한식,삼삼이네,삼삼하우스,321301
한식,국사랑,케이씨컴퍼니,146605
한식,최용찬의 불노리,"한성푸드,한성컨설팅",57142
한식,3대서가밀면,3대서가,24100
한식,밥FULL,CooperativeF&C(쿠퍼레이티브에프앤씨),194639
한식,가얏골감자탕,지앤지푸드,182645
한식,통큰낙지,골든코리아,380501
한식,덕뽀리,씨에이치푸드,107928
한식,나이스투미츄,아이에스크리에이티브,286388
한식,담소소사골순대,(주)담소이야기,522843
한식,백청우칼국수,백청우칼국수,357284
한식,양철북,(주)마시명가,254740
한식,불끈낙지,예스람,479314
한식,추담골남원추어탕,추사랑식품,193331
한식,햇잎갈비,햇잎푸드,359673
한식,양마니순대곱창,이수식품,103655
한식,주구장창석쇠불판,다드림푸드,169331
한식,어죽이네철렵국,어죽이네철렵국,181411
한식,닭이봉춘천닭갈비,진푸드서비스,186561
한식,삼겹촌놈,솔담,351491
한식,왓삼,왓삼푸드,447908
한식,백채,(주)심플맨,253493
한식,오술차,(주)오술차,219640
한식,홍구등갈비,성우,231629
한식,약초마을,약초마을YCM,293280
한식,육대장,(주)육대장,508619
한식,밥장인돼지찌개,(주)밥장인,169337
한식,신마포갈매기,(주)디딤,365053
한식,고래감자탕,(주)디딤,265353
한식,고래식당,(주)디딤,92379
한식,일미리금계찜닭,(주)일미리,213901
한식,신촌설렁탕,(주)신촌푸드,411537
한식,무국식탁편백집,(주)무국식탁,396313
한식,홍수계찜닭,(주)마루퍼슨스,390071
한식,삼청동멸치국수,(주)삼청동,203519
한식,콩사돈,(주)지엠푸드,289118
한식,웰미가,(주)웰미가베스트푸드,28163
한식,어바웃샤브,(주)올어바웃푸드,266200
한식,하누소,(주)하누소푸드시스템,1661476
한식,88콩나물국밥,(주)웰미가베스트푸드,25799
한식,내가찜한닭,(주)마이푸드,470309
한식,사월에보리밥&쭈꾸미,(주)풀잎채,239289
한식,종로직화쭈꾸미,종로푸드시스템(주),627503
한식,명품청기와감자탕,다니엘푸드,57706
한식,쭈꾸미블루스,(주)펀투비위드,150457
한식,"명동칼국수,샤브샤브",(주)명동,377425
한식,주순희찌개마을시골촌,(주)순희에프앤비,272837
한식,가인채,(주)가인채,807706
한식,제주미향해장국,(주)미향에프엔비,173312
한식,토정삼계탕,(주)우리모메,419177
한식,새마을식당,(주)더본코리아,594816
한식,빚은,(주)에스피씨삼립,186376
한식,돌배기집,(주)더본코리아,726702
한식,백종원의원조쌈밥집,(주)더본코리아,458370
한식,개미집,(주)낙지볶음개미집,438558
한식,궁채,(주)이밥스,250535
한식,솔청면옥,(주)이밥스,134062
한식,청와삼대,(주)봄봄,256308
한식,백철판0410,(주)더본코리아,502840
한식,한신포차,(주)더본코리아,1139474
한식,본가,(주)더본코리아,874148
한식,지호한방삼계탕,(주)지호,358771
한식,떡보의하루,(주)떡파는사람들,167897
한식,제임스치즈등갈비,(주)이프유원트,699962
한식,두부본가어묵,후 푸드,577113
한식,가장맛있는족발,(주)가장맛있는족발,615719
한식,엉터리생고기,(주)영마루,618460
한식,엉터리생고기 두번째이야기 무한삼겹,(주)영마루,563129
한식,짝태시대,짝태시대,170426
한식,토고리 옛날막창 소갈비살,(주)지에프코리아,200307
한식,땡기요,와이엠씨푸드,10354
한식,완백부대찌개,씨엘카이로스(주),535258
한식,블랭,지에프케이,305331
한식,온누리장작구이,(주)온누리푸드시스템,669455
한식,쭈꾸미시스터즈,(주)제이알인터내셔널,470168
한식,진이찬방,진이푸드(주),211655
한식,미스터보쌈5379,(주)푸디아,236119
한식,대독장,(주)제니스에프앤비,254751
한식,면채반,(주)면채반,438380
한식,두남자찜닭,(주)두남자컴퍼니,610520
한식,삼곱식당,삼곱푸드,494523
한식,수육국밥.보쌈전문점 더참맛수육국밥앤보쌈,(주)더참맛푸드,595678
한식,바푸리죽앤즙,(주)비피알,178150
한식,고기고샵,(주)이도에프앤씨,670229
한식,잭아저씨보쌈&족발,제이에스푸드시스템,220737
한식,부산아지매국밥,(주)제이엘푸드,445707
한식,유장춘닭개장,(주)제이씨씨푸드,301938
한식,온채당,(주)푸드젠코리아,559497
한식,상도늘보리,(주)늘보리에프앤씨,457793
한식,무한장소,(주)제이씨엠에프씨,401055
한식,서소문족발,서소문(주),828750
한식,미스터닭찜,(주)푸디아,38173
한식,또와유 명태간장조림,(주)해오름에프에스,394869
한식,에그파파,(주)계림식품농업회사법인,50117
한식,홍스쭈꾸미,(주)리더스코리아코퍼레이션,98102
한식,본래순대,(주)도드람에프씨가맹사업본부,161230
한식,두거리우신탕,두거리푸드,259959
한식,채선당,(주)채선당,449597
한식,칠프로칠백식당,(주)칠프로칠백식당,368748
한식,소플러스,(주)엔조이푸드시스템,1574527
한식,바베큐통족구이,(주)케이제이푸드시스템,178395
한식,통큰손쭈꾸미마을,(주)하늘샘,464706
