업종,브랜드,상호,평균매출액
한식,국사랑,케이씨컴퍼니,269167
한식,삼육가珍,(주)레블스,1540660
한식,전준수명품청기와감자탕,다니엘푸드,619235
한식,남도복국,(주)남도가,599429
한식,두찜,(주)기영에프앤비,240278
한식,쪽찌,(주)마더푸드,300907
한식,지호한방삼계탕,(주)지호,413563
한식,발빠닭,(주)어나더푸드컬쳐,277692
한식,돼지만,찰만f&c,766992
한식,갈비만,찰만f&c,1338760
한식,김용덕의 소문난 부자국밥,알씨(RC)유통부자갈비탕찜,183353
한식,조춘식동태탕찜,(주)조앤비컨설팅,135921
한식,배달삼겹 돼지되지,정담유통(주),251514
한식,한마음정육식당,(주)지피에프씨,512633
한식,석쇠꾼,(주)휴링크에프씨,262445
한식,김형제고기의철학,(주)킴스브라더스,948717
한식,불막열삼,(주)꿈을실현하는사람들,208789
한식,팔백집,(주)길품에프엔비,408305
한식,한솥,(주)한솥,352657
한식,토정삼계탕,(주)우리모메,393427
한식,미식가의구이,(주)태인에프앤비,313158
한식,삼훈국민생아구찜,(주)백경푸드시스템,369041
한식,괸당집,(주)제주소나이,357400
한식,큰정할매순대국,(주)휴앤지,294314
한식,철뚝집,(주)브라더푸드시스템,447252
한식,명륜진사갈비,(주)명륜당,992450
한식,일품투가리감자탕,(주)좋은우리,762321
한식,육분삼십,(주)편백가,565513
한식,뚱뚱이할머니족발보쌈,(주)미도식품,20813
한식,화평동왕냉면,해피브릿지협동조합,287145
한식,흑도리,해피브릿지협동조합,366514
한식,박가부대,원앤원(주),247592
한식,장충동왕족발보쌈,(주)장충동왕족발,48097
한식,통달배,(주)톰앤드,150511
한식,인생극장,(주)에이치티코리아,121679
한식,삶다 오로지 족발,(유)케이앤에스오로지,671979
한식,가장맛있는족발,(주)가장맛있는족발,551310
한식,나는 밥조폭이다,우수한형제들,54810
한식,보승회관,보승FC,676433
한식,건강밥상 심마니,(주)엠푸드,1513090
한식,더만족,더만족,363009
한식,담소 소사골 순대 육개장,(주)담소이야기,540966
한식,오술차,(주)오술차,289277
한식,낭만쭈꾸미,(주)낭만연구소,497049
한식,신의주찹쌀순대,(주)거성푸드,434069
한식,청국장과보리밥,농협회사법인(주)인건,518846
한식,흥부찜닭,(주)놀부,92470
한식,진한설렁탕담다,(주)놀부,116813
한식,삼겹본능,(주)놀부,48509
한식,놀부유황오리진흙구이,(주)놀부,623671
한식,놀부항아리갈비,(주)놀부,203115
한식,놀부화덕족발,(주)놀부,130794
한식,놀부보쌈족발,(주)놀부,197575
한식,놀부부대찌개,(주)놀부,217226
한식,교동전선생,(주)교동,359159
한식,현풍닭칼국수,신칼,387449
한식,갈비애드림,(주)탐라드림,300667
한식,안동국밥곰탕,케이엠에스,274169
한식,목구멍,(주)팀브로,501414
한식,신정골,(주)신정푸드,112895
한식,착한막창,착한막창,274634
한식,하수련주왕산삼계탕,주왕산삼계탕부산경남본부,240411
한식,현대옥,현대옥프랜차이즈,444768
한식,빚은,(주)에스피씨삼립,173369
한식,한와담,(주)호박패밀리,1039928
한식,넙딱집,(주)감칠맛,404116
한식,유케야,(주)야푸드,398695
한식,안동본가국밥,(주)두웰푸드,394621
한식,반할맛으로 값어치하는 소고깃집,(주)끼니,881119
한식,바푸리죽앤즙,(주)비피알,118142
한식,콩두,(주)더조은에프앤비,302714
한식,육수당,(주)에이치디푸드,257509
한식,자연정가 양평해장국,(유)전라도푸드에프앤씨,423790
한식,북창동순두부,(주)디코레,449761
