중식,가마솥옛날시골통닭,경상남도,창원시 마산합포구,오동동,128.574158684367,35.2026475920836
중식,가마치통닭,경상남도,양산시,삼성동,129.049251563015,35.3642163489575
중식,개성집,울산광역시,남구,삼산동,129.329122768314,35.5388061042992
중식,개성집,울산광역시,남구,삼산동,129.329122768314,35.5388061042992
중식,개성집,울산광역시,남구,삼산동,129.329122768314,35.5388061042992
중식,개성집,울산광역시,남구,삼산동,129.329122768314,35.5388061042992
중식,경성양꼬치,경기도,시흥시,배곧동,126.714567502037,37.3610728711937
중식,경성양꼬치,울산광역시,동구,전하1동,129.425878270559,35.5128520465578
중식,고쿠텐,서울특별시,송파구,잠실본동,127.080076286535,37.5099939094841
중식,골목집,부산광역시,부산진구,당감2동,129.046141083206,35.1575572104103
중식,골목집,부산광역시,부산진구,당감2동,129.046141083206,35.1575572104103
중식,공화춘,경기도,고양시 일산동구,정발산동,126.778415955712,37.6773902138021
중식,공화춘,경기도,남양주시,화도읍,127.301318208834,37.6583732629922
중식,공화춘,경기도,성남시 분당구,백현동,127.112070798652,37.3927845647152
중식,공화춘,경기도,수원시 장안구,조원2동,127.009216017437,37.3021301765789
중식,공화춘,경기도,안산시 단원구,호수동,126.828654753465,37.3134291412754
중식,공화춘,경기도,이천시,증포동,127.44555895314,37.2932012180688
중식,공화춘,경상남도,창녕군,성산면,128.472196804629,35.6270235664644
중식,공화춘,대구광역시,달성군,다사읍,128.473557880156,35.8739508540305
중식,공화춘,서울특별시,강남구,삼성1동,127.05974496335,37.5086083814458
중식,공화춘,서울특별시,서대문구,충현동,126.963669748985,37.560993227063
중식,공화춘,서울특별시,서초구,양재2동,127.03912170187,37.4682732765973
중식,공화춘,전라남도,순천시,삼산동,127.484905978286,34.9711793487008
중식,교동전선생,대구광역시,수성구,황금2동,128.622975695721,35.840559962132
중식,교동짬뽕,강원도,강릉시,교1동,128.887428093514,37.7573618809853
중식,교동짬뽕,강원도,강릉시,교1동,128.887428093514,37.7573618809853
중식,교동짬뽕,강원도,강릉시,교1동,128.887428093514,37.7573618809853
중식,교동짬뽕,강원도,동해시,천곡동,129.101794713085,37.5281432521335
중식,교동짬뽕,강원도,동해시,천곡동,129.101794713085,37.5281432521335
중식,교동짬뽕,강원도,동해시,천곡동,129.101794713085,37.5281432521335
중식,교동짬뽕,강원도,속초시,교동,128.582668591863,38.2010516156616
중식,교동짬뽕,강원도,속초시,교동,128.582668591863,38.2010516156616
중식,교동짬뽕,강원도,속초시,교동,128.582668591863,38.2010516156616
중식,교동짬뽕,강원도,양구군,양구읍,127.990087664989,38.1080824574009
중식,교동짬뽕,강원도,양구군,양구읍,127.990087664989,38.1080824574009
중식,교동짬뽕,강원도,양구군,양구읍,127.990087664989,38.1080824574009
중식,교동짬뽕,강원도,원주시,문막읍,127.829758001847,37.3306923139566
중식,교동짬뽕,강원도,원주시,문막읍,127.829758001847,37.3306923139566
중식,교동짬뽕,강원도,원주시,문막읍,127.829758001847,37.3306923139566
중식,교동짬뽕,강원도,정선군,정선읍,128.663574475222,37.3810914678179
중식,교동짬뽕,강원도,정선군,정선읍,128.663574475222,37.3810914678179
중식,교동짬뽕,강원도,정선군,정선읍,128.663574475222,37.3810914678179
중식,교동짬뽕,강원도,춘천시,강남동,127.71661168683,37.8701355893306
중식,교동짬뽕,강원도,춘천시,강남동,127.71661168683,37.8701355893306
중식,교동짬뽕,강원도,춘천시,강남동,127.71661168683,37.8701355893306
중식,교동짬뽕,강원도,춘천시,동내면,127.761668232624,37.8346806618857
중식,교동짬뽕,강원도,춘천시,동내면,127.761668232624,37.8346806618857
중식,교동짬뽕,강원도,춘천시,동내면,127.761668232624,37.8346806618857
중식,교동짬뽕,강원도,춘천시,동면,127.755744299024,37.8947132084056
중식,교동짬뽕,강원도,춘천시,동면,127.755744299024,37.8947132084056
중식,교동짬뽕,강원도,춘천시,동면,127.755744299024,37.8947132084056
중식,교동짬뽕,강원도,춘천시,조운동,127.7294643299,37.880185258968
중식,교동짬뽕,강원도,춘천시,조운동,127.7294643299,37.880185258968
중식,교동짬뽕,강원도,춘천시,조운동,127.7294643299,37.880185258968
중식,교동짬뽕,강원도,춘천시,퇴계동,127.723051162009,37.8654565474389
중식,교동짬뽕,강원도,춘천시,퇴계동,127.723051162009,37.8654565474389
중식,교동짬뽕,강원도,춘천시,퇴계동,127.723051162009,37.8654565474389
중식,교동짬뽕,강원도,춘천시,퇴계동,127.743673715322,37.8442118603643
중식,교동짬뽕,강원도,춘천시,퇴계동,127.743673715322,37.8442118603643
중식,교동짬뽕,강원도,춘천시,퇴계동,127.743673715322,37.8442118603643
중식,교동짬뽕,강원도,홍천군,홍천읍,127.896776498751,37.6925109936634
중식,교동짬뽕,강원도,홍천군,홍천읍,127.896776498751,37.6925109936634
중식,교동짬뽕,강원도,홍천군,홍천읍,127.896776498751,37.6925109936634
중식,교동짬뽕,강원도,횡성군,횡성읍,127.989457862187,37.4872637795603
중식,교동짬뽕,강원도,횡성군,횡성읍,127.989457862187,37.4872637795603
중식,교동짬뽕,강원도,횡성군,횡성읍,127.989457862187,37.4872637795603
중식,교동짬뽕,경기도,고양시 일산동구,고봉동,126.792569674324,37.7245505169709
중식,교동짬뽕,경기도,고양시 일산동구,고봉동,126.792569674324,37.7245505169709
중식,교동짬뽕,경기도,고양시 일산동구,고봉동,126.792569674324,37.7245505169709
중식,교동짬뽕,경기도,고양시 일산동구,장항2동,126.768116898561,37.6599116162556
중식,교동짬뽕,경기도,고양시 일산동구,장항2동,126.768116898561,37.6599116162556
중식,교동짬뽕,경기도,고양시 일산동구,장항2동,126.768116898561,37.6599116162556
중식,교동짬뽕,경기도,고양시 일산서구,송산동,126.738471625397,37.6965395012073
중식,교동짬뽕,경기도,고양시 일산서구,송산동,126.738471625397,37.6965395012073
중식,교동짬뽕,경기도,고양시 일산서구,송산동,126.738471625397,37.6965395012073
중식,교동짬뽕,경기도,광명시,소하1동,126.883054221355,37.4557370909004
중식,교동짬뽕,경기도,광명시,소하1동,126.883054221355,37.4557370909004
중식,교동짬뽕,경기도,광명시,소하1동,126.883054221355,37.4557370909004
중식,교동짬뽕,경기도,구리시,수택1동,127.143244560372,37.5983758350287
