40,한식,우굽는공간 꾸이점빵,태삼(꾸이점빵),2018-12-20,27,4,1,3,0,0,0,0,0,11000,11000,0,148500,170500,2200,99,66000
41,한식,돈과채 꽃돼지연탄구이,꽃돼지연탄구이,가맹사업 개시 전,0,0,2,0,0,0,0,0,0,11000,5500,3000,96800,116300,1650,132,66000
42,한식,다드림,다드림,2020-10-29,5,0,0,0,0,0,0,0,0,11000,5500,2000,110000,128500,1925,132,77000
43,한식,용궁야시장,(주)오가푸드,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,5500,3300,3000,113850,125650,3080,82,77000
44,한식,갈비찜1번가,(주)에스코퍼레이션,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,0,0,0,6380,6380,0,0,0
45,한식,열이네식육식당,열이네식육식당,가맹사업 개시 전,0,0,4,0,0,0,0,0,0,16500,27500,10000,58360,112360,880,99,26400
46,한식,행복낙곱새,행복한가족(주),가맹사업 개시 전,0,0,8,0,0,0,0,0,0,11000,5500,5000,15400,36900,1100,13,4400
47,한식,춘향이가 만든전,신춘향전,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,8800,2200,2000,70400,83400,1650,66,33000
48,한식,금화왕돈까스,(주)다함컴퍼니,2019-03-18,24,15,8,16,0,1,0,0,0,11000,5500,5000,84275,105775,1310,99,39300
49,한식,외식촌,프랜차이즈그룹,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,11000,5500,1000,105600,123100,1650,132,66000
50,한식,이가네곰탕,가마야,가맹사업 개시 전,0,0,1,0,0,0,0,0,0,3300,1100,1000,18700,24100,1100,33,11000
51,한식,족보잇는국밥,족보잇는국밥,가맹사업 개시 전,0,0,5,0,0,0,0,0,0,0,5500,0,28555,34055,990,40,11880
52,한식,현덕대창,씨지에프(주),가맹사업 개시 전,0,0,26,0,0,0,0,0,0,11000,5500,2000,130900,149400,1870,165,93500
53,한식,길성이삼계탕,(주)길성이,가맹사업 개시 전,0,0,11,0,0,0,0,0,0,5500,2200,30000,158400,196100,2200,165,110000
54,한식,청춘식당,(유)에브라임이노베이션,가맹사업 개시 전,0,0,71,0,0,0,0,0,0,5500,3300,2000,33000,43800,1650,33,16500
55,한식,장원서 닭한마리,(주)에스이엔에프씨,2019-01-10,26,0,6,0,0,0,0,0,0,7700,3300,0,52455,63455,1430,99,42900
56,한식,삼삼막창1994,(주)고려에프씨,2020-06-29,9,0,0,0,0,0,0,0,0,3300,2200,1000,58850,65350,1430,66,28600
57,한식,알찬하루,알찬하루,2019-11-17,16,2,1,2,0,0,0,0,0,7700,5500,5000,144650,162850,1650,165,82500
58,한식,꽃마름,(주)일야,2020-11-17,4,0,52,0,0,0,0,0,0,11000,11000,5000,203800,230800,1580,264,126400
59,한식,길성이꼬기꼬기,(주)길성이,가맹사업 개시 전,0,0,11,0,0,0,0,0,0,11000,3300,0,54400,68700,1540,33,15400
60,한식,족발의제왕,(주)만수푸드,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,5500,1100,1100,6050,13750,0,0,0
61,한식,국밥의제왕,(주)만수푸드,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,5500,1100,1100,6050,13750,0,0,0
62,한식,우뎅이,(주)백년불고기,가맹사업 개시 전,0,0,5,0,0,0,0,0,0,3300,4400,3000,94700,105400,1980,99,59400
63,한식,명품상무팥죽,㈜명품상무팥죽,2020-01-29,14,0,31,0,0,0,0,0,0,33000,11000,3000,120120,167120,1100,165,55000
64,한식,길성이가집으로,(주)길성이,가맹사업 개시 전,0,0,11,0,0,0,0,0,0,5500,3300,2000,33000,43800,1650,33,16500
65,한식,볼빨간아구찜,에이치와이에프앤비(HYF&B),가맹사업 개시 전,0,0,0,0,0,0,0,0,0,5500,2200,2000,26950,36650,1430,33,14300
66,한식,쪽찌,(주)마더푸드,2016-07-25,56,30,34,16,0,3,0,300907,10916,7700,3300,0,75700,86700,1500,82,37500
67,한식,철뚝길,철뚝길에프씨,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,11000,5500,0,76340,92840,1650,82,41250
68,한식,괭이부리마을,신솔푸드,가맹사업 개시 전,0,0,1,0,0,0,0,0,0,5500,3300,2000,0,10800,1540,66,30800
69,한식,큰바우국밥,금손,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,1100,2200,0,44000,47300,1760,33,17600
