번호,상호,영업표지,대표자,등록번호,업종,링크
288,(주)수페컴퍼니,수페부엌,한선재,20191041,서양식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77951
287,(주)라고바움,라고바움 (Lago Baum),권영배,20191387,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77495
286,인더비엣,인더비엣,장희중,20190611,기타 외국식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=83059
285,(주)청년에프앤씨,어부 김호권의 청년어부,이강엽,20200491,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79971
284,우즈(주),WOO'Z,우대권,20180123,제과제빵,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78515
283,(주)토향,토향,김미숙,20170050,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78510
282,NC에프앤비,문문피자,허원찬,20191377,피자,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78475
281,(주)만권,만권화밥,김형신,20170254,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78448
280,(주)계림식품농업회사법인,에그파파,조형상,20150055,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78314
279,(주)보배식품,코만도,이옥이,20080100325,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78281
278,(주)영광식품,청주본가,김헌수,20100500056,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78192
277,(주)준인터(JunInter),사계진미 숯불닭갈비,최민호,20180162,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77844
276,(주)거북이동네,거북이동네,박병훈,20200578,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77805
275,(주)더기푸드,지랄닭발,신윤지,20190770,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77760
274,목연식당(주),목연식당,남궁연,20170623,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77616
273,(주)대명코리아,짬뽕타운,서정훈,20200581,중식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77573
272,(주)코코브릿지,조커닭 (Jokerdark),안정식,20180779,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=80502
271,베로,베로에스프레소 (VERO ESPRESSO),이종영,20190433,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79197
270,엠엔엠에프씨(M&MFC),먹태,장승철,20150596,주점,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78805
269,더플롯(THEPLOT),더플롯커피(THE PLOT COFFEE),이영주,20200574,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78214
268,(주)로드썬,원조전통명가 통큰할매순대국,김만성,20160013,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77751
267,(주)제이에이치컴퍼니,흑운당,박지훈,20200226,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77373
266,㈜위드컴퍼니에이치앤비,미도인(味道人),정민섭,20200343,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79235
265,(주)삼정코리아,투마리나,이지훈,20180624,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78658
264,돼지청문회본사돼지청문회축산,돼지청문회,김문현,20190043,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78616
263,(주)자박에프엔비,자박갈비,양승찬,20180209,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78516
262,(유)행복한형제들,치몬치킨,"임정택, 이승민",20200211,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78495
261,(유)지앤에스,황가네꼼닭,표영수,20160434,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78336
260,(주)미식주,보고싶다,이경숙,20190258,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78319
259,(주)신성마을,피자빙고,정은여,20080100342,피자,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78298
258,바삭마차,바삭마차,양수현,20190146,서양식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77417
257,혜담,김프로부대찌개,김대일,20191335,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=76275
256,(주)커피집,아멜라떼,예진아,20161034,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79018
255,에이치와이코리아(주),마라공방,윤명숙,20200220,중식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78677
254,NC에프앤비(F&B),겟201(GET201),허원찬,20170698,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78482
253,청춘에프앤비(F&B),청춘문방구,조혁수,20160284,주점,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78358
252,(주)미식주,밥통령,이경숙,20180559,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78306
251,(주)다담뜰,다담뜰 한식뷔페,은세훈,20150901,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78300
250,(주)영광식품,김이박부대찌개앤스테이크,김헌수,20140761,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78196
249,(주)한창이앤피,황금소,김현숙,20140972,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77977
248,꿈을요리하다닭한끼,꿈을요리하다닭한끼,문건희,20170411,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77833
247,(주)에이치브라더스,화르화르,하병욱,20120300066,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79841
246,(주)제이비에프씨,뚱뚱이할머니족발보쌈,이진호,20110100062,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78996
245,(주)참편한칭구,전주24시참편한39콩나물국밥,전상구,20171185,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78820
244,강가네해물섞어찜대방점,강가네해물섞어찜,강동수,20160959,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78816
243,(주)금빛컴퍼니,1987금빛통닭,김남훈,20170012,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78747
242,미스터비짬뽕,미스터비(Mr.B) 나가사키짬뽕,배강호,20160752,중식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78737
241,(주)나무에프엠디,뜨돈(DD'DON),"전재현, 전병길",20161129,서양식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78728
240,(주)다누,해안식당,김태석,20181350,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78714
239,(주)썬푸드,국민수육국밥&막국수,김지연,20150269,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78661
238,운치상회,이자카야 게다(げた),홍순석,20190257,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78653
237,정인,흙에서,유명철,20171429,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78545
236,(주)로맨틱에프엔비,낭만치킨,권오승,20180248,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78511
235,(주)팀씨,고씨네,최성필,20190807,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78395
234,(주)알통컴퍼니,알통떡강정,황선미,20130100381,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78044
