업종,브랜드,상호,가맹사업 개시일,가맹사업 년수,가맹점수,가맹본부 임직원수
한식,순탄고기,순탄고기,2020-06-24,0년 9개월,1,1명
한식,우리소육회마왕,제이제이(JJ)brother,가맹사업 개시 전,0년 0개월,0,0명
한식,조홍재 고기대군,고기대군,가맹사업 개시 전,0년 0개월,0,3명
한식,허재영의 묵사발,(주)다람쥐할머니에프씨,가맹사업 개시 전,0년 0개월,0,0명
한식,삼겹촌놈,솔담,2014-11-13,6년 4개월,8,2명
한식,두판닭갈비,윤미푸드,2020-06-23,0년 9개월,0,3명
한식,쭈꾸미도사,쭈꾸미도사,2019-04-01,1년 11개월,7,5명
한식,깍두기,깍뚜기바비큐,2013-10-23,7년 5개월,0,2명
한식,경복궁개성손만두,서울물류,2016-07-29,4년 8개월,0,3명
한식,큰돈쪽쪽갈비,큰돈쪽쪽갈비,2015-07-05,5년 8개월,6,1명
한식,황금대구뽈,㈜티.케이.피,가맹사업 개시 전,0년 0개월,0,3명
한식,생고기대학교,푸드스토리,2017-02-03,4년 1개월,13,3명
한식,오리궁뎅이,오리궁뎅이,2012-08-13,8년 7개월,2,2명
한식,고씨네 고추장 찌개,고씨네푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,탐진강면사무소,미래f&c,가맹사업 개시 전,0년 0개월,0,0명
한식,속초네어장,속초네어장본점,2014-03-19,7년 0개월,1,10명
한식,마부육전,마부육전스토리,2020-06-23,0년 9개월,0,3명
한식,모심 임가네해물촌,임가네해물촌,2007-07-01,13년 8개월,2,5명
한식,마이고기,(주)다온에프앤비,가맹사업 개시 전,0년 0개월,0,5명
한식,매취랑,현진에프앤씨(HyeonjinF&C),2016-12-15,4년 3개월,1,1명
한식,비빔가,(주)다온에프앤비,가맹사업 개시 전,0년 0개월,0,5명
한식,쿡친,마시굿,2013-08-09,7년 7개월,9,2명
한식,시골통돼지볶음,코아FS,2011-07-01,9년 8개월,18,2명
한식,행진푸드,행진푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,어신코뎅이,어신코뎅이,2018-10-19,2년 5개월,1,1명
한식,청년곱창,(주)청년에프앤비,가맹사업 개시 전,0년 0개월,0,2명
한식,청진동해장국,(주)씨제이디푸드시스템,2006-04-28,14년 11개월,0,0명
한식,콩시루,시루유통,2000-03-05,21년 0개월,16,5명
한식,닭발굽는청년,정갈한푸드,2019-02-01,2년 1개월,3,2명
한식,바보아재막창,바보아재막창,2018-07-06,2년 8개월,2,2명
한식,월령찜닭,앗싸푸드,가맹사업 개시 전,0년 0개월,0,5명
한식,신성아구찜,정가네신성아구찜,2017-09-12,3년 6개월,2,3명
한식,밀가촌국수,밀가촌국수,가맹사업 개시 전,0년 0개월,0,1명
한식,무원골 흑돈대패,정상FC,가맹사업 개시 전,0년 0개월,0,5명
한식,불한당,정상FC,가맹사업 개시 전,0년 0개월,0,5명
한식,흑돼지 삼백식당,정상FC,2016-01-29,5년 2개월,20,5명
한식,육회본가,(주)본가에프앤비,2017-04-28,3년 11개월,33,2명
한식,영산강오리탕,영산강오리탕,2017-04-28,3년 11개월,1,1명
한식,수생목,수생목푸드,2018-02-01,3년 1개월,1,1명
한식,경원해물찜아구찜,경원해물찜아구찜,가맹사업 개시 전,0년 0개월,0,1명
한식,동곡꽃게장,동곡꽃게장,가맹사업 개시 전,0년 0개월,0,2명
한식,황금코다리,(주)유니쉐프,2016-03-24,5년 0개월,107,10명
한식,한양손칼국수,한양칼국수,가맹사업 개시 전,0년 0개월,0,2명
한식,다다미,수완다다미본점,2018-09-18,2년 6개월,2,1명
한식,구삼짜글이,(주)푸드법인수앤리,가맹사업 개시 전,0년 0개월,0,0명
한식,명태골,명태골,2018-05-10,2년 10개월,3,2명
한식,153구포국수,(주)일오삼에프씨,2019-07-18,1년 8개월,4,6명
한식,정남옥,(주)정남옥에프앤씨,2020-06-19,0년 9개월,0,0명
한식,바다쭈꾸미,대신푸드,2008-09-30,12년 6개월,2,1명
한식,냠냠족발앤보쌈,냠냠족발앤보쌈,2019-01-20,2년 2개월,12,1명
한식,육시리,티티씨에프,2016-11-01,4년 4개월,18,2명
한식,진성아구찜,진성,2007-03-15,14년 0개월,38,10명
한식,꺽다리 두마리 찜닭&떡볶이,명동닭튀김,가맹사업 개시 전,0년 0개월,0,2명
한식,마중물추어탕,마중물추어탕,2014-11-15,6년 4개월,5,1명
한식,그남자의 돼지갈비,그남자의돼지갈비,2019-10-21,1년 5개월,2,3명
한식,기운찬식탁,(주)더미자,가맹사업 개시 전,0년 0개월,0,5명
한식,육장장이,착한맘굿쉐프,2019-03-01,2년 0개월,13,4명
한식,보드레족,보드레족,2013-01-20,8년 2개월,10,4명
한식,불향가득연희동돼지불백,(주)비앤비몬스터푸드,가맹사업 개시 전,0년 0개월,0,7명
한식,남기남 부대찌개,(주)남기남,2017-05-22,3년 10개월,2,0명
한식,화통 500 ℃,더화통,가맹사업 개시 전,0년 0개월,0,1명
한식,마에똥,마에똥,가맹사업 개시 전,0년 0개월,0,1명
한식,우등생,(주)육쌈,2018-03-14,3년 0개월,2,40명
한식,조가네갑오징어,(주)조앤이푸드,2014-11-01,6년 4개월,21,10명
한식,맛존매콤닭불고기,맛존매콤닭불고기,2019-10-10,1년 5개월,2,2명
한식,최배달바로보쌈,(주)최배달,2020-01-02,1년 2개월,0,10명
한식,성원정양대창,(주)성원정에프앤비,2020-03-01,1년 0개월,0,0명
한식,감자탕의 거인,우리가메뉴코칭,2018-09-17,2년 6개월,1,3명
한식,돈짝,돈짝,2020-06-10,0년 9개월,0,1명
한식,소보양본가,소보양본가,2018-04-09,2년 11개월,4,1명
한식,쭈꾸쭈꾸아,쭈꾸쭈꾸아,2016-10-11,4년 5개월,5,4명
한식,국산특허마늘곱창막창,국산특허마늘곱창막창,2016-12-14,4년 3개월,5,3명
한식,단골집,(주)세렌디피티,가맹사업 개시 전,0년 0개월,0,0명
한식,개성집,유황F&S,2018-02-01,3년 1개월,7,1명
한식,삼정꼬랑지,미코에프씨(주),가맹사업 개시 전,0년 0개월,0,5명
한식,김영희동태찜&코다리냉면,(주)해피푸드,2017-03-03,4년 0개월,46,28명
한식,와우족발,와우족발,가맹사업 개시 전,0년 0개월,0,2명
한식,모박사부대찌개,모박사본점,2003-01-05,18년 2개월,21,2명
한식,정진관의일품정,일품정,2018-01-01,3년 2개월,0,1명
한식,한림돈가,(주)네오플레이트,2019-03-29,2년 0개월,3,4명
한식,일미리 금계찜닭,(주)일미리,2012-01-01,9년 2개월,92,11명
한식,샤브쌈주머니,위드몬,2012-06-02,8년 9개월,39,9명
한식,도리연닭도리탕,도리연닭도리탕,2017-01-12,4년 2개월,5,2명
한식,고기바보,디티푸드,2017-05-19,3년 10개월,4,6명
한식,육앤샤,디티푸드,2014-07-26,6년 8개월,2,6명
한식,차돌풍,농부의마음,2017-11-01,3년 4개월,62,6명
한식,불위에서노는닭,불위에서노는닭,2015-02-10,6년 1개월,2,2명
한식,성경만두요리전문점,(주)성경에프앤에스,2014-07-21,6년 8개월,25,7명
한식,신정만국밥,신정만국밥,가맹사업 개시 전,0년 0개월,0,1명
한식,어죽이네철렵국,어죽이네철렵국,2006-05-10,14년 10개월,17,7명
한식,낙곱새미장원,낙곱새미장원,가맹사업 개시 전,0년 0개월,0,1명
한식,에스지푸드( SG FOOD),에스지푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,장인미역,(주)호인푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,팔꾸이팔당닭발,팔꾸이,2013-08-05,7년 7개월,4,1명
한식,배달왔소,(주)비알비에프앤비,가맹사업 개시 전,0년 0개월,3,7명
한식,호수꼬치,(주)호수코리아,2016-04-01,4년 11개월,41,11명
한식,대패갑1900,화꾸소흑도새기,가맹사업 개시 전,0년 0개월,4,5명
한식,황소갈비,(주)명성에프앤비,2013-10-03,7년 5개월,12,4명
한식,계연탄,(주)다함컴퍼니,2019-12-19,1년 3개월,0,8명
한식,꼬치마요,(주)다함컴퍼니,2019-12-19,1년 3개월,0,8명
한식,백하돼지생갈비,(주)다함컴퍼니,2018-01-15,3년 2개월,5,8명
한식,전라도이야기,전라도이야기,2015-03-27,6년 0개월,4,4명
한식,봉화산 설렁탕 전문점,(주)봉화산푸드,2017-04-19,3년 11개월,6,15명
한식,갈비토대왕,㈜봉화산푸드,2005-10-11,15년 5개월,1,15명
한식,숯불에닭,탄계명가,2015-05-03,5년 10개월,12,6명
한식,황해수육,황해푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,바른계념식당,(주)나도람에프씨,가맹사업 개시 전,0년 0개월,0,34명
한식,옹아리벌교꼬막,(주)옹아리제이에스유통,2019-01-15,2년 2개월,0,0명
한식,따봉시래기,따봉시래기,2017-07-17,3년 8개월,2,2명
한식,족과의동침,가장맛있는족발족과의동침,2013-01-01,8년 2개월,0,3명
한식,홍콩할매불닭발,삼정코리아,가맹사업 개시 전,0년 0개월,0,4명
한식,고집센그집갈비탕,그집푸드,2016-09-19,4년 6개월,58,5명
한식,마앤약감자탕해장국,청진동해장국,가맹사업 개시 전,0년 0개월,0,4명
한식,냉철한삼겹,(주)거성에프앤비,가맹사업 개시 전,0년 0개월,0,0명
한식,죽금당,(주)와이앤씨코리아,가맹사업 개시 전,0년 0개월,0,0명
한식,양철식당,(주)와이앤씨코리아,2017-06-27,3년 9개월,8,0명
한식,5.5닭갈비,(주)오점오,2007-06-31,13년 9개월,60,12명
한식,아랑고기국수,아랑고기국수,2019-12-20,1년 3개월,2,1명
한식,원조명품진갈비,(주)지케이홀딩스,가맹사업 개시 전,0년 0개월,0,2명
한식,청양일초,(주)청해,2006-07-04,14년 8개월,29,14명
한식,최프로의요리킹,(주)오색만찬,가맹사업 개시 전,0년 0개월,0,54명
한식,전현주식당,(주)미설렘,2020-02-12,1년 1개월,0,0명
한식,임창정의 대단한갈비,(주)예스아이엠패밀리,가맹사업 개시 전,0년 0개월,0,10명
한식,임창정의 모서리족발,(주)예스아이엠에프앤비,2017-10-30,3년 5개월,55,4명
한식,도야족발보쌈,도야족발앤푸드,2014-07-23,6년 8개월,135,1명
한식,통큰낙지,남산에프앤씨,2012-02-10,9년 1개월,14,1명
한식,덮다,덮다,2020-01-16,1년 2개월,0,2명
한식,나이스투미츄,아이에스크리에이티브,2013-10-23,7년 5개월,6,4명
한식,만식이네와인포차,와인컴퍼니,2018-07-06,2년 8개월,10,1명
한식,배달짜글OH짜글,오에이치,2019-04-16,1년 11개월,37,3명
한식,천하제일숯불갈비,창업드림푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,맛있는영자씨네,맛있는영자씨네,2016-04-30,4년 11개월,1,1명
한식,브라더한정식도시락,브라더F&H,2016-12-13,4년 3개월,5,2명
한식,단지 김치찜&김치찌개,(주)미래원에프앤씨,가맹사업 개시 전,0년 0개월,0,12명
한식,덕뽀리,씨에이치푸드,2016-12-19,4년 3개월,10,2명
한식,백년손님서서갈비,하나에프앤비,2019-08-26,1년 7개월,2,1명
한식,덮덮밥,씨지에프(주),가맹사업 개시 전,0년 0개월,0,26명
한식,이씨네푸줏간,이씨네푸줏간,가맹사업 개시 전,0년 0개월,0,1명
한식,Girin The 매운갈비찜,기린더매운갈비찜,2019-08-01,1년 7개월,1,1명
한식,여장군,(주)아람푸드,2016-04-08,4년 11개월,17,13명
한식,연경호킹아구해물찜,킹아구해물찜아중점,2010-01-04,11년 2개월,5,3명
한식,아재 부산낙곱새,우성푸드,2020-05-18,0년 10개월,0,0명
한식,한결통아구찜,한결프렌차이즈,2020-05-07,0년 10개월,0,0명
한식,채돈이,채돈이,2017-09-13,3년 6개월,6,4명
한식,모던불닭,모던푸드,2019-03-18,2년 0개월,8,1명
한식,제콩 제크와 콩나물불고기,모던푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,후암편백,비스에프엔비,가맹사업 개시 전,0년 0개월,0,0명
한식,육첩반상,(주)대세에프엔비,2017-05-30,3년 10개월,11,12명
한식,THE진국,(주)섬김과나눔,2011-07-11,9년 8개월,76,46명
한식,철든놈익스프레스(철든놈EXP),(주)아이언가이즈,2020-05-01,0년 10개월,0,20명
한식,이정돈돼야지,프랜차이즈새늘,가맹사업 개시 전,0년 0개월,0,1명
한식,몽땅다돼지,프랜차이즈새늘,가맹사업 개시 전,0년 0개월,0,1명
한식,화덕초 대파불고기,프랜차이즈새늘,2015-09-16,5년 6개월,7,1명
한식,대패장사,대패장사,2018-04-26,2년 11개월,8,1명
한식,곱창이최고예요,곱창이최고예요(수송본점),가맹사업 개시 전,0년 0개월,0,2명
한식,게매니아,게매니아호남지사,가맹사업 개시 전,0년 0개월,0,0명
한식,길성이,(주)길성이,2005-12-06,15년 3개월,20,11명
한식,야식공장,(주)엔터글로벌코리아,가맹사업 개시 전,0년 0개월,0,4명
한식,병만네닭갈비,병만네닭갈비,2018-02-20,3년 1개월,0,1명
한식,백성고기집,와이제푸드,2019-10-10,1년 5개월,0,1명
한식,지배온삼겹,지배온에프앤씨,2018-02-23,3년 1개월,6,1명
한식,족발신선생,신솔푸드,2018-08-02,2년 7개월,6,1명
한식,미소육화,미소육화푸드시스템,2015-06-01,5년 9개월,3,2명
한식,더맛있는족발보쌈,더족푸드,2018-06-09,2년 9개월,11,1명
한식,제주몬트락,(주)모닥홀딩스,2015-03-02,6년 0개월,6,12명
한식,화를품은닭,화를품은닭본점,2018-02-01,3년 1개월,2,1명
한식,육소단,육소단,2017-08-02,3년 7개월,4,2명
한식,뚱쓰부대찌개,더원(Theone),가맹사업 개시 전,0년 0개월,0,1명
한식,인생아구찜,인생아구찜,가맹사업 개시 전,0년 0개월,0,0명
한식,존가네,씨지에프(주),2017-06-01,3년 9개월,93,26명
한식,한끼덮밥,(주)두빛나래에프씨,2020-06-01,0년 9개월,0,0명
한식,한끼삼계탕,(주)두빛나래에프씨,2020-06-01,0년 9개월,0,0명
한식,떡미당,㈜만풍농헙회사법인,2016-06-23,4년 9개월,4,16명
한식,백그릇국밥,셰프공간컴퍼니(주),2019-02-15,2년 1개월,6,11명
한식,한나네부엌,(주)리조이스,2020-04-13,0년 11개월,0,0명
한식,돈희극,더블유doubleu에프앤비,2020-01-15,1년 2개월,0,0명
한식,Tasty bro PORK,포크본점,가맹사업 개시 전,0년 0개월,0,2명
한식,도시수산시장,(주)디딤,가맹사업 개시 전,0년 0개월,0,177명
한식,장패(JANGPAE),장패체인사업본부,2011-12-12,9년 3개월,21,1명
한식,산촌신쭈꾸미,(주)디비홀딩스,가맹사업 개시 전,0년 0개월,0,4명
한식,더갈비,더갈비,가맹사업 개시 전,0년 0개월,0,0명
한식,동의명가 칼국수,(주)더블에스그룹,2020-04-18,0년 11개월,5,18명
한식,동의명가 찌개집,(주)더블에스그룹,2020-04-18,0년 11개월,1,18명
한식,모서리집,(주)해밀트레이딩,2019-01-02,2년 2개월,1,4명
한식,아라가야,아라가야냉면석쇠불고기,2018-03-10,3년 0개월,4,1명
한식,곤드레찜드레,와이지유통,2018-12-01,2년 3개월,6,1명
한식,찜피,이수푸드빌,가맹사업 개시 전,0년 0개월,0,2명
한식,새마을찜닭,이수푸드빌,가맹사업 개시 전,0년 0개월,0,1명
한식,쭈꾸미블루스,(주)펀투비위드,2015-09-25,5년 6개월,3,2명
한식,와촌식육식당,(주)와촌본가,2015-08-30,5년 7개월,24,3명
한식,덮밥90도씨,발산삼계탕,2020-03-01,1년 0개월,0,3명
한식,본설렁탕,본아이에프(주),2015-07-28,5년 8개월,22,176명
한식,족발꾼,꾼컴퍼니,2019-01-20,2년 2개월,9,1명
한식,돼지코생곱창갈비,(주)돼지코푸드,2013-01-19,8년 2개월,7,6명
한식,제주산방식당,산방에프앤비(주),2019-05-01,1년 10개월,3,18명
한식,전골의법칙,(주)이노에프앤에스,2017-04-11,3년 11개월,1,10명
한식,육각수냉면,육각수냉면중리점,2020-05-25,0년 10개월,0,2명
한식,한우와버거 5628,한우와버거5628,가맹사업 개시 전,0년 0개월,0,2명
한식,꽃찬찜닭,플라워푸드,2017-02-14,4년 1개월,30,1명
한식,제주양가네해물한상,(주)핵가족,2019-07-25,1년 8개월,2,16명
한식,전복서커스,(주)핵가족,가맹사업 개시 전,0년 0개월,0,16명
한식,오지다,오지다,가맹사업 개시 전,0년 0개월,0,1명
한식,죽이요,다은푸드,가맹사업 개시 전,0년 0개월,0,0명
한식,자연고구마순감자탕,자연감자탕,가맹사업 개시 전,0년 0개월,0,2명
한식,풍요갈비왕국,통큰오리착한삼겹,가맹사업 개시 전,0년 0개월,0,3명
한식,영하당감자탕,(주)영하,2019-05-03,1년 10개월,2,4명
한식,두루두루 푸드,두루두루푸드,가맹사업 개시 전,0년 0개월,0,1명
한식,쪽쪽갈비,(주)청심,가맹사업 개시 전,0년 0개월,0,0명
한식,청년순대국,(주)브랜드그라운드,가맹사업 개시 전,0년 0개월,0,2명
한식,더비빔,(주)이엔에프컴퍼니,가맹사업 개시 전,0년 0개월,0,9명
한식,곽만근갈비탕이야기,(주)곽푸드에프씨,2017-04-21,3년 11개월,4,42명
한식,곽만근갈비탕,(주)곽푸드에프씨,2011-08-01,9년 7개월,28,42명
한식,국밥쟁이,(주)국밥쟁이,2020-05-20,0년 10개월,0,5명
한식,정담은알탕,정담는,2019-12-04,1년 3개월,3,1명
한식,배달삼겹직구삼,(주)모두여는세상,2017-04-02,3년 11개월,50,9명
한식,"심스조개전골,칼국수","심's조개전골,칼국수",가맹사업 개시 전,0년 0개월,0,1명
한식,도산서 갈비,(주)도산서갈비,가맹사업 개시 전,0년 0개월,0,0명
한식,천하대창군,(주)천하에프앤비,가맹사업 개시 전,0년 0개월,0,0명
한식,막창뚱이,막창뚱이,가맹사업 개시 전,0년 0개월,0,1명
한식,육대장,(주)육대장,2012-06-29,8년 9개월,153,26명
한식,꼬기만땅 점보비빔밥,원딜리버리,2018-09-06,2년 6개월,0,1명
한식,우렁두메골,(주)세신데코,가맹사업 개시 전,0년 0개월,0,6명
한식,참토우,(주)참토우,2011-05-12,9년 10개월,9,5명
한식,무국식탁편백집,(주)무국식탁,2017-03-07,4년 0개월,5,4명
한식,박군자진주냉면,(주)진주교방,2014-04-21,6년 11개월,13,5명
한식,박지우의 와우막창곱창,와우막창곱창,2020-03-02,1년 0개월,0,0명
한식,어바웃샤브,(주)올어바웃푸드,2005-05-20,15년 10개월,11,0명
한식,백참,(주)기영에프앤비,2019-12-23,1년 3개월,1,35명
한식,혼바비언,(주)두꺼비에프앤비,가맹사업 개시 전,0년 0개월,0,5명
한식,떡가게 종춘,(주)종춘에프앤비,2018-06-02,2년 9개월,5,16명
한식,두뽂스,(주)나도람에프씨,2019-07-20,1년 8개월,32,34명
한식,채영진의명품생고기무한리필,명품MP,가맹사업 개시 전,0년 0개월,0,0명
한식,정가네 곱창떡볶이,(주)홍리에프앤씨,2020-05-15,0년 10개월,0,7명
한식,배부장찌개,(주)맛있는에프앤비,2016-06-03,4년 9개월,105,11명
한식,맘스토어,대성팜에프앤엘(주),2020-05-13,0년 10개월,0,11명
한식,면채반,(주)면채반,2012-07-23,8년 8개월,5,8명
한식,두돈까스,(주)아이언가이즈,가맹사업 개시 전,0년 0개월,0,17명
한식,더진한 옹기전 돼지국밥,레인보우FC,가맹사업 개시 전,0년 0개월,0,1명
한식,어구미,제이엠인터내셔널(주),가맹사업 개시 전,0년 0개월,0,2명
한식,마부곱창,(주)프랜즈업,2020-04-13,0년 11개월,0,0명
한식,입큰아구알곤이찜,더현푸드시스템,2018-03-29,3년 0개월,16,1명
한식,유가네닭갈비,(주)바이올푸드글로벌,2002-05-15,18년 10개월,196,42명
한식,게매니아,게매니아,가맹사업 개시 전,0년 0개월,0,0명
한식,마포껍데기,(주)숲풀림식품,2019-08-10,1년 7개월,3,58명
한식,일인분혼밥족솔로테이블신스2018,솔로테이블,가맹사업 개시 전,0년 0개월,0,0명
한식,이선생짜글이,한울프랜차이즈,가맹사업 개시 전,0년 0개월,0,4명
한식,식껍,미인푸드,2017-11-27,3년 4개월,3,1명
한식,이승현의 착한게장,(주)노고단,2019-04-01,1년 11개월,0,0명
한식,삼원돈,(주)조은세상에프엔씨,2018-06-07,2년 9개월,1,5명
한식,신촌설렁탕,(주)신촌푸드,2003-05-24,17년 10개월,52,5명
한식,오늘한점,(주)우용에프앤비,2010-06-22,10년 9개월,14,10명
한식,황태장인,(주)팀웍앤비,2016-03-21,5년 0개월,1,2명
한식,달빛에구운고등어,(주)새모양에프앤비,가맹사업 개시 전,0년 0개월,0,20명
한식,만수미당,(주)새모양에프앤비,가맹사업 개시 전,0년 0개월,0,20명
한식,제육참잘하는집,아침의부엌,가맹사업 개시 전,0년 0개월,0,2명
한식,낙곱새대가,아침의부엌,가맹사업 개시 전,0년 0개월,0,2명
한식,그집닭갈비,아침의부엌,가맹사업 개시 전,0년 0개월,0,2명
한식,돌배기집,(주)더본코리아,2014-02-25,7년 1개월,47,253명
한식,본가,(주)더본코리아,2002-05-30,18년 10개월,36,253명
한식,백종원의원조쌈밥집,(주)더본코리아,1993-04-06,27년 11개월,28,253명
한식,성성식당,(주)더본코리아,2010-03-01,11년 0개월,0,253명
한식,백스비빔밥,(주)더본코리아,2012-04-27,8년 11개월,1,253명
한식,인생설렁탕,(주)더본코리아,2019-07-22,1년 8개월,3,253명
한식,한신포차,(주)더본코리아,2009-10-07,11년 5개월,141,0명
한식,새마을식당,(주)더본코리아,2005-10-30,15년 5개월,127,253명
한식,대한국밥,(주)더본코리아,2013-07-01,7년 8개월,1,253명
한식,황금명태본가,옥란식품,가맹사업 개시 전,0년 0개월,0,2명
한식,우주최강도시락,(주)톡에프앤비,2014-07-01,6년 8개월,13,8명
한식,평규술집,(주)평규술집,2019-09-25,1년 6개월,13,7명
한식,단골손님,(주)단골손님,2019-01-20,2년 2개월,15,6명
한식,국밥여행,(주)팀스카이,2018-07-25,2년 8개월,32,9명
한식,황장군,(주)가우정푸드,2016-03-11,5년 0개월,17,41명
한식,연안식당,(주)디딤,2017-12-17,3년 3개월,209,177명
한식,이천가든,(주)플라잉테이블,2020-04-29,0년 11개월,3,17명
한식,삼청동멸치국수,(주)삼청동,2016-05-24,4년 10개월,12,4명
한식,샤브20,(주)에스이컴퍼니,가맹사업 개시 전,0년 0개월,0,4명
한식,사랑탕,(주)오리지날스푼,2009-10-27,11년 5개월,0,15명
한식,만파식적,(주)만파식적,2019-11-08,1년 4개월,1,7명
한식,황금식당,(주)디딤,2017-07-01,3년 8개월,1,177명
한식,호랭이곱창,(주)디딤,2012-12-18,8년 3개월,0,177명
한식,한라담,(주)디딤,가맹사업 개시 전,0년 0개월,0,177명
한식,차돌6키로,(주)디딤,2018-02-13,3년 1개월,1,177명
한식,진미국수,(주)디딤,가맹사업 개시 전,0년 0개월,0,177명
한식,연안해물칼국수,(주)디딤,2017-12-01,3년 3개월,0,177명
한식,연남숯불닭갈비,(주)디딤,가맹사업 개시 전,0년 0개월,0,177명
한식,애플삼겹살,(주)디딤,2016-03-01,5년 0개월,0,177명
한식,맵도리탕,(주)푸드맵,2016-07-01,4년 8개월,37,10명
한식,신마포갈매기,(주)디딤,2008-07-01,12년 8개월,137,177명
한식,반달전집,(주)디딤,가맹사업 개시 전,0년 0개월,0,177명
한식,미추냉삼,(주)디딤,2018-12-26,2년 3개월,1,177명
한식,화요미,(주)풀잎채,2018-11-01,2년 4개월,0,21명
한식,123막창,(주)123푸드,2016-09-02,4년 6개월,26,19명
한식,원조의령소바,(주)의령소바,2011-05-07,9년 10개월,34,10명
한식,육회말투아웃,(주)수에프씨,2016-08-15,4년 7개월,10,2명
한식,돈가네김치찌개,(주)에프앤씨돈가네,2007-03-21,14년 0개월,50,9명
한식,고래식당,(주)디딤,2017-03-15,4년 0개월,21,177명
한식,콩밭에고등어,(주)풀잎채,2020-04-29,0년 11개월,1,21명
한식,고래감자탕,(주)디딤,2017-02-26,4년 1개월,12,177명
한식,마녀가 만든 족발,제이에이치푸드(주),2016-02-05,5년 1개월,11,26명
한식,청사월보리밥과쭈꾸미,(주)풀잎채,2017-04-11,3년 11개월,11,21명
한식,행복가마솥밥&알솥밥,(주)채선당,2017-06-01,3년 9개월,23,123명
한식,진고복식당,(주)풀잎채,2020-04-29,0년 11개월,3,21명
한식,채선당,(주)채선당,2004-12-21,16년 3개월,187,123명
한식,바다향왕코다리,(주)엑츠에프씨,2019-06-28,1년 9개월,5,3명
한식,샤브보트,(주)채선당,2016-08-24,4년 7개월,32,123명
한식,홍구등갈비,성우,2014-11-04,6년 4개월,6,3명
한식,온누리쭈꾸미,(주)온누리푸드시스템,2014-10-31,6년 5개월,3,21명
한식,온누리장작구이,(주)온누리푸드시스템,2006-12-04,14년 3개월,9,21명
한식,파파낙지,(주)테이스티컴퍼니,2019-03-15,2년 0개월,0,13명
한식,이화수전통육개장,이화수(주),2013-10-09,7년 5개월,173,0명
한식,맛들의축제,(주)애드쉐어,2017-01-16,4년 2개월,13,3명
한식,어명이요,(주)에브릿,2015-10-19,5년 5개월,3,48명
한식,본스튜,(주)식스텐비즈,2018-11-01,2년 4개월,4,10명
한식,종로직화쭈꾸미,종로푸드시스템(주),2014-12-18,6년 3개월,5,3명
한식,"소담애 족발,보쌈",(주)에브릿,2010-05-25,10년 10개월,19,48명
한식,행복한도야지,겸손한사람들,가맹사업 개시 전,0년 0개월,0,0명
한식,강산면옥,(주)강산면옥,2002-03-04,19년 0개월,2,12명
한식,정선애곤드레밥,종로푸드시스템(주),가맹사업 개시 전,0년 0개월,0,3명
한식,스테이크&부대찌개브라더스,(주)이도감농업회사법인,2010-04-30,10년 11개월,2,97명
한식,꿀본가네 낙곱새,꿀가네낙곱새,2019-12-10,1년 3개월,1,1명
한식,곱창혁명,아키푸드,가맹사업 개시 전,0년 0개월,0,2명
한식,88콩나물국밥,(주)웰미가베스트푸드,2016-05-01,4년 10개월,7,6명
한식,불고기브라더스 키친,(주)이도감농업회사법인,2016-11-28,4년 4개월,0,97명
한식,웰미가,(주)웰미가베스트푸드,2015-01-01,6년 2개월,5,6명
한식,불고기브라더스 도시락점방,(주)이도감농업회사법인,2018-11-15,2년 4개월,0,97명
한식,진아구,(주)미트더석세스,2020-04-29,0년 11개월,0,17명
한식,불고기브라더스,(주)이도감농업회사법인,2020-04-29,0년 11개월,2,97명
한식,데블스램&펍,데블스램&펍위례신도시점,2018-04-08,2년 11개월,1,7명
한식,천사곱창,(주)식스텐비즈,2016-05-27,4년 10개월,42,10명
한식,또와유 명태간장조림,(주)해오름에프에스,2011-12-01,9년 3개월,30,4명
한식,하루한쌈,(주)푸드피플,2019-10-07,1년 5개월,2,12명
한식,존슨부대찌개,(주)존슨푸드코리아,2014-05-21,6년 10개월,41,6명
한식,오색동,(주)푸드피플,2019-08-08,1년 7개월,2,12명
한식,쭈꾸미시스터즈,(주)제이알에프앤씨,2015-06-06,5년 9개월,4,13명
한식,살아있네아구,(주)리안,2016-09-27,4년 6개월,5,4명
한식,철순이네김치찌개,(주)박앤박,2018-08-01,2년 7개월,11,4명
한식,청실홍실,(주)푸드피플,2018-05-14,2년 10개월,13,12명
한식,땅스부대찌개,(주)티에스푸드,2017-01-29,4년 2개월,177,16명
한식,새싹정원,(주)씨티오푸드인터내셔날,가맹사업 개시 전,0년 0개월,0,2명
한식,미스터닭찜,(주)푸디아,2017-05-30,3년 10개월,8,16명
한식,미스터보쌈5379,(주)푸디아,2012-04-01,8년 11개월,93,16명
한식,삼겹구이,(주)미래에프씨,2011-12-23,9년 3개월,14,6명
한식,고을래이베리코흑돼지,(주)미락에프씨,2017-10-01,3년 5개월,8,7명
한식,혼밥대왕,(주)박앤박,2020-04-29,0년 11개월,0,4명
한식,성윤 국가대표 아구찜 앤 알곤이찜,국가대표윤푸드,가맹사업 개시 전,0년 0개월,0,0명
