업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
한식,발빠닭,(주)어나더푸드컬쳐,20,8,0,5,0,"277,692","11,179"
한식,돼지만,찰만f&c,7,7,1,0,0,"766,992","11,185"
한식,대패만,찰만f&c,4,1,0,0,0,0,0
한식,갈비만,찰만f&c,7,3,0,0,0,"1,338,760","11,900"
한식,육구운본부,피씨에스코리아,0,0,0,0,0,0,0
한식,비돈이제돈이,피씨에스코리아,0,0,0,0,0,0,0
한식,위대한찜닭,착한먹거리,0,0,0,0,0,0,0
한식,똥집이야기,똥집이야기,0,0,0,0,0,0,0
한식,육식청년,(주)달구지푸드,0,0,0,0,0,0,0
한식,대패막창,(주)달구지푸드,0,0,0,0,0,0,0
한식,소문난밥상,(주)에스비에프앤비,0,0,0,0,0,0,0
한식,아구킹,(주)바른에프앤디,0,0,0,0,0,0,0
한식,유가솜씨닭갈비,맛모아식품,0,0,0,0,0,0,0
한식,포장맛차,포장맛차,0,0,0,0,0,0,0
한식,제줏간,제줏간,0,0,0,0,0,0,0
한식,돈애반해,(주)푸드로,0,0,0,0,0,0,0
한식,한식마을,푸드팩토리,0,0,0,0,0,0,0
한식,한근숯불닭갈비,(주)비에스인큐,0,0,0,0,0,0,0
한식,특수부돼,특수부돼,0,0,0,0,0,0,0
한식,육회에반한꼬막,(주)야푸드,0,0,0,0,0,0,0
한식,바른찌개,솔든코리아,0,0,0,0,0,0,0
한식,집으로 가는 식당 GO집,(주)씨에프에프씨,0,0,0,0,0,0,0
한식,오십이도칼국수,오십이도,0,0,0,0,0,0,0
한식,숯불에구웠삼겹,델리홈,0,0,0,0,0,0,0
한식,혼밥또시락,내가먹F&B,0,0,0,0,0,0,0
한식,회장님댁 국밥,(주)민컴퍼니,0,0,0,0,0,0,0
한식,회장님댁 갑오징어,(주)민컴퍼니,0,0,0,0,0,0,0
한식,고기주택,부라보F&B,0,0,0,0,0,0,0
한식,고기를사랑하는집,고기를사랑하는집,0,0,0,0,0,0,0
한식,호구비빔밥&김치찌개,제이제이푸드,0,0,0,0,0,0,0
한식,대국,쉐프의연구소,0,0,0,0,0,0,0
한식,뚱보아구찜&해물탕,쉐프의연구소,0,0,0,0,0,0,0
한식,이츠닭,(주)동네사람들,0,0,0,0,0,0,0
한식,이천가든,(주)한국인,0,0,0,0,0,0,0
한식,수유땡초닭발,땡초닭발,0,0,0,0,0,0,0
한식,손찬,㈜손찬,0,0,0,0,0,0,0
한식,김용덕의 소문난 부자국밥,알씨(RC)유통부자갈비탕찜,40,20,0,0,0,"183,353","6,668"
한식,오늘게장,(주)알제이,0,0,0,0,0,0,0
한식,김광석신촌칼국수,(주)김광석신촌칼국수,0,0,0,0,0,0,0
한식,찜닭의정석,(주)비어프랜드,0,0,0,0,0,0,0
한식,김혜경 제주항통갈치,제주항통칼치,0,0,0,0,0,0,0
한식,눈꽃육회,갓참치,0,0,0,0,0,0,0
한식,조춘식동태탕찜,(주)조앤비컨설팅,8,2,0,0,0,"135,921","5,624"
한식,라면에주,그레야마더지,0,0,0,0,0,0,0
한식,양평두물머리 해장국,(주)나라찬에프엔비,0,0,0,0,0,0,0
한식,육남매,㈜바로푸드,0,0,0,0,0,0,0
한식,감성낙곱새,(주)에이치엔푸드,0,0,0,0,0,0,0
한식,강순자옛맛김치찌개,강푸드,0,0,0,0,0,0,0
한식,대한민국 고기집,(주)바른푸드,0,0,0,0,0,0,0
한식,지즐,(주)하나에프씨,0,0,0,0,0,0,0
한식,줄벼락,(주)줄벼락,5,5,0,0,0,0,0
한식,백년갈비외 1,장만호에프씨협동조합,0,0,0,0,0,0,0
한식,약콩밀면,약콩세가,0,0,0,0,0,0,0
한식,강릉장칼국수,(주)알에스푸드빌,0,0,0,0,0,0,0
한식,팔도족발,(주)얌얌레시피,0,0,0,0,0,0,0
한식,팔도삼겹살,(주)얌얌레시피,0,0,0,0,0,0,0
한식,LA에서 훔친 갈비,(주)오모가리컴퍼니,0,0,0,0,0,0,0
한식,뼈대장,(주)웅장한식탁,0,0,0,0,0,0,0
