업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
분식,엉망진창 떡볶이,올림엔터프라이즈(OLIMENTERPRISE),0,0,0,0,0,0,0
분식,명인만두,(주)명인에프엔비,129,24,0,18,11,"153,571","9,356"
분식,김만희떡볶이,김만희떡볶이,0,0,0,0,0,0,0
분식,박봉자 떡볶이,(주)제이엠푸드,0,0,0,0,0,0,0
분식,부엌19.83,(주)송쓰제너레이션,0,0,0,0,0,0,0
분식,인정국물떡볶이,인정푸드시스템,28,18,0,1,2,"197,349","17,651"
분식,석관동놀러오새우,석관동놀러오새우,0,0,0,0,0,0,0
분식,오떡,(주)에이치앤비푸드,51,21,0,16,6,"181,793","12,022"
분식,남도분식,(주)오버플로우,6,6,0,0,0,0,0
분식,떡장군,떡장군본점,0,0,0,0,0,0,0
분식,악동떡볶이,악동푸드,0,0,0,0,0,0,0
분식,오백국수,오백제작소,0,0,0,0,0,0,0
분식,정가왕만두,정가푸드,0,0,0,0,0,0,0
분식,유흥떡볶이,유흥F&B,8,8,0,0,0,0,0
분식,투핑거스,(주)에땅,6,5,0,2,2,"74,569","9,486"
분식,개념떡볶이,(주)푸드엠코리아,11,8,0,1,0,"82,625","1,517"
분식,공수간,(주)놀부,192,103,48,0,20,"54,021","14,890"
분식,호떡당,(주)그랜드비스타,25,15,0,6,0,"86,008","9,816"
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,으니의수라간,(주)원스에프엔비,12,0,1,0,2,"63,996","11,725"
분식,이토우야 ITTOUYA,칼스푸드(주),7,7,0,0,0,"189,278","10,419"
분식,보영만두,(주)보영,8,1,0,3,0,"370,782","18,152"
분식,면장의밥상,(주)오엠푸드,0,0,0,0,0,0,0
분식,정동뚝배기,(주)갑원에프에스,2,1,0,0,0,0,0
분식,면앤면 추억의 가락국수,(주)갑원에프에스,2,0,0,0,0,0,0
분식,갑진즉석,BrotherNewBrand,7,9,0,2,0,0,0
분식,만두혁명,(주)미성에프앤씨,0,0,0,0,0,0,0
분식,참숯불닭발불떡볶이,(주)위드미,8,0,0,3,0,"135,563","8,431"
분식,오빠네옛날떡볶이,(주)오옛떡,0,0,0,0,0,0,0
