상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2020년 신규개점,2020년 계약종료,2020년 계약해지,2020년 명의변경,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)비바리즈,제주울어멍해장국,고혜지,한식,2020.12.09,2020.12.01,02  -  1577  -  6449,031  -  967  -  3377,20171083,..,2021.04.05,우 : 63062 제주특별자치도 제주시 애월읍 광령남4길 26 1층,법인,220111  -  0213496,656  -  81  -  01854,"30,974","11,574","19,400","10,050","9,400","9,400",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017  -  08  -  20,0,2,1,0,1,0,0,0,9,0,0,3,0  개,예치제,0,0,0,0,"7,700","3,300","3,000","84,700","98,700","1,650 ",99 ,"49,500 ",2,1
(주)아이푸드,얌이밀,정유미,기타 외식,2010.09.28,2010.09.28,031  -  982  -  2634,031  -  622  -  9774,20210963,2021.04.05,2021.04.05,우 : 10012 경기도 김포시 하성면 오정동로 177 1층,법인,285011  -  0183793,128  -  86  -  53492,0,0,0,0,0,0,"7,125,812","2,773,668","4,352,144","10,607,217","3,126,605","2,580,522","4,602,124","3,531,369","1,070,755","5,895,815","1,091,524","273,248",1,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"11,800",0,0,0,"5,500","3,300","3,000","55,000","66,800","2,200 ",50 ,"33,000 ",2,1
(주)에이앤제이코퍼레이션,조슈아버거팩토리(Joshua Burger Factory),이원규,패스트푸드,2020.11.18,2020.12.01,02  -  798  -  8600,02  -  798  -  8602,20200487,2020.04.09,2021.04.05,"우 : 04382 서울특별시 용산구 한강대로48길 25 402호 (한강로2가, 리슈빌딩)",법인,110111  -  7687308,682  -  87  -  01985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  개,예치제,"13,800",0,0,0,"5,500","3,300","3,300","72,400","84,500",0,0 ,0,2,1
(주)에이앤제이코퍼레이션,제퍼빈스(Zephyr Beans),이원규,커피,2020.11.18,2020.12.01,02  -  798  -  8600,02  -  798  -  8602,20110100389,2011.08.28,2021.04.05,"우 : 04382 서울특별시 용산구 한강대로48길 25 402호 (한강로2가, 리슈빌딩)",법인,110111  -  7687328,682  -  87  -  01985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1957  -  07  -  16,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"13,800",0,0,0,"5,500","3,300","3,300","56,100","68,200",0,0 ,0,2,1
(주)에이앤제이코퍼레이션,논노스(NONNOS),이원규,기타 외식,2020.11.18,2020.12.01,02  -  798  -  8600,02  -  798  -  8602,20200486,2020.04.09,2021.04.05,"우 : 04382 서울특별시 용산구 한강대로48길 25 402호 (한강로2가, 리슈빌딩)",법인,110111  -  7687308,682  -  87  -  01985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"13,800",0,0,0,"5,500","3,300","3,300","13,090","25,190",0,0 ,0,2,1
(주)에이앤제이코퍼레이션,쇼부,이원규,기타 외식,2020.11.18,2020.12.01,02  -  798  -  8600,02  -  798  -  8602,20150422,2015.05.26,2021.04.05,우 : 04382 서울특별시 용산구 한강대로48길 25 402호,법인,110111  -  7687308,682  -  87  -  01985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1957  -  07  -  16,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"13,800",0,0,0,"5,500","3,300","3,300","76,450","88,550",0,0 ,0,2,1
(주)불로만,불로만치킨바베큐,김영경,치킨,1998.06.22,1998.04.25,032  -  863  -  3838,032  -  874  -  0817,20080200073,2008.07.29,2021.04.05,우 : 22117 인천광역시 남구 장고개로42번길 41 (도화동),법인,120111  -  0172081,131  -  81  -  46750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1958  -  02  -  01,0,0,0,0,0,0,0,0,0,0,0,0,  개,보험,"10,800",0,0,0,"5,500","3,300","3,300","56,750","68,850",0,0 ,0,2,1
(주)육대장,육대장,이진수,한식,2013.02.06,2013.01.25,070  -  1661  -  5135,02  -  334  -  4560,20120100694,2012.12.12,2021.04.05,우 : 21984 인천광역시 연수구 송도과학로 32 에스동 3202호 (송도테크노파크IT센터),법인,120111  -  0645872,121  -  86  -  23226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1971  -  07  -  25,0,0,0,0,0,0,0,0,0,0,0,0,  개,보험,"16,300",0,0,0,"11,000","3,300","3,300","175,780","193,380",0,0 ,0,2,2
(주)온센,온센,"박현숙, 김선영",일식,2019.07.18,2019.07.23,  -  1577  -  6546,032  -  772  -  9995,20200394,2020.03.18,2021.04.05,우 : 21998 인천광역시 연수구 하모니로 158 B동 1002호,법인,120111  -  1012517,361  -  87  -  01400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018  -  11  -  07,0,0,0,0,0,0,0,0,0,0,0,0,  개,보험,"22,000",0,0,0,"16,500","5,500",0,"65,700","87,700",0,0 ,0,2,1
밥값계산하는남자들,마피아떡볶이,김유희,분식,..,2018.08.01,032  -  462  -  4004,032  -  563  -  4005,20181085,2018.10.26,2021.04.05,우 : 22736 인천광역시 서구 중봉대로612번길 10-20 5층 502호(청라동),개인,  -  ,265  -  51  -  00313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017  -  04  -  25,0,0,0,0,0,0,0,0,0,0,0,0,  개,보험,"13,000",0,0,0,"5,500","5,500","2,000","39,050","52,050",0,0 ,0,2,2
