상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
돼지생갈비상회,돼지생갈비상회,강희식,한식,..,2018.06.20,052  -  256  -  2200,  -    -  ,20210751,2021.03.17,2021.03.17,우 : 44721 울산광역시 남구 달삼로 62 1층(달동),개인,  -  ,661  -  12  -  00870,0,0,0,"490,089",0,0,0,0,0,"288,355",0,0,0,0,0,0,0,0,1,0,가맹계약체결사실이 없습니다,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"18,500",0,0,0,"11,000","5,500","2,000","77,000","95,500","1,540 ",99 ,"46,200 ",2,1
여기다양꼬치,여기다양꼬치,이옥,중식,..,2013.11.19,055  -  759  -  7212,055  -  744  -  5512,20210711,2021.03.15,2021.03.15,우 : 52796 경상남도 진주시 돗골로 119-1 1층,개인,  -  ,613  -  19  -  59819,0,0,0,"364,134",0,0,0,0,0,"402,878",0,0,0,0,0,"493,639",0,0,0,0,2017  -  11  -  22,0,0,0,0,0,0,0,0,1,0,0,0,0  개,예치제,"17,700",0,0,0,"5,500","2,200","10,000","71,040","88,740","1,500 ",99 ,"45,000 ",5,3
(주)지에프코리아,새참만두버거,이병위,기타 외식,2012.10.10,2012.09.03,032  -  508  -  9592,032  -  505  -  3735,20210703,2021.03.12,2021.03.12,"우 : 21414 인천광역시 부평구 경인로1009번길 15 (부평동, 1층)",법인,120111  -  0629818,122  -  86  -  27924,"343,811","153,330","190,481","2,220,187","132,992","140,098","186,388","136,006","50,382","1,573,401","54,939","62,881","163,416","175,915","-12,499","1,355,809",160,"1,439",4,0,가맹사업 예정,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"8,500",0,0,0,"3,300","2,200","3,000","29,050","37,550","1,870 ",50 ,"28,050 ",2,1
(주)돕는사람들,불불이족발,유민호,기타 외식,2016.07.15,2016.07.22,02  -  302  -  4780,00  -  000  -  0000,20110100503,2011.10.25,2021.03.12,우 : 13112 경기도 성남시 수정구 복정로 135 3층,법인,134211  -  0179021,385  -  81  -  00540,"5,348,791","6,375,278","-1,026,487","19,000,804","-559,724","-1,012,988","571,359","330,871","240,488","2,719,620","4,489","89,600","618,137","467,250","150,887","3,713,985","11,635",654,2,0,2011  -  07  -  29,2,0,16,1,11,0,15,0,10,0,13,5,0  개,예치제,"8,600",0,0,0,"5,500","1,100","2,000","28,734","37,334","1,429 ",33 ,"14,289 ",2,1
신포주막since1991,신포주막 since1991,강갑석,주점,..,2019.05.04,02  -  0000  -  0000,000  -  0000  -  0000,20210704,2021.03.12,2021.03.12,우 : 22314 인천광역시 중구 신포로 25-1 1층,개인,  -  ,869  -  21  -  00990,0,0,0,"139,265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020  -  12  -  21,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"16,300",0,0,0,"11,000","3,300","2,000","151,300","167,600","1,650 ",165 ,"82,500 ",2,2
(주)디딤,마포옥고급소갈비,이범택,한식,2015.03.30,2015.03.30,032  -  819  -  6870,032  -  815  -  6870,20201666,2020.12.03,2021.03.12,우 : 21655 인천광역시 남동구 논현로46번길 39-24 .,법인,110111  -  5680643,896  -  81  -  00036,"117,030,401","84,270,123","32,760,278","125,265,878","3,493,797","1,357,910","69,675,606","36,182,072","33,493,534","97,013,238","4,447,459","2,609,675","54,140,507","22,805,623","31,334,884","68,808,885","1,528,298","2,319,186",29,0,가맹사업 개시전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"21,500",0,0,0,"11,000","5,500","5,500","64,075","86,075","1,100 ",99 ,"33,000 ",2,2
(유)신포우리식품,신포우리만두,박양진,분식,1993.12.29,1994.01.01,063  -  546  -  7501,063  -  546  -  8853,20080400035,2008.09.12,2021.03.11,"우 : 54353 전라북도 김제시 황산면 용마로 429-9 (용마리, 황산농공단지 내)",법인,214814  -  0001047,405  -  81  -  04103,"16,726,589","8,147,425","8,579,164","9,927,631","151,165","140,158","16,811,193","8,439,004","8,372,189","10,522,550","77,069","3,871","15,518,648","8,435,133","7,083,515","10,522,673","162,840","75,023",1,0,1985  -  05  -  01,13,0,11,5,9,0,11,5,3,0,5,6,1  개,예치제,"11,800",0,0,0,"5,940","2,860","3,000","118,291","130,091","1,430 ",132 ,"57,200 ",2,2
(주)향기내는사람들,히즈빈스(HISBEANS),임정택,커피,2010.08.26,2010.09.13,054  -  262  -  4620,054  -  262  -  4628,20180290,2018.03.23,2021.03.11,우 : 37596 경상북도 포항시 북구 장량로226번길 6 2층(양덕동),법인,171711  -  0090074,506  -  81  -  73091,"518,047","437,008","81,039","2,148,677","-226,530","6,377","534,346","459,685","74,661","1,385,903","-193,403","5,263","390,625","321,228","69,397","1,409,061","-87,117","-42,240",1,0,2013  -  08  -  23,3,0,0,0,1,0,2,0,2,0,0,0,0  개,보험,"16,940",0,0,0,"11,000","5,940",0,"126,970","143,910","2,692 ",99 ,"80,750 ",3,2
(주)푸름에프앤에스,토마토김밥,원묵,분식,2011.12.09,2012.01.01,02  -  1688  -  0255,02  -  6291  -  2904,20100100453,2010.09.20,2021.03.11,우 : 08510 서울특별시 금천구 디지털로9길 99 스타밸리 1014호,법인,110111  -  4746793,109  -  86  -  34117,"3,464,924","2,887,404","577,520","7,507,132","225,317","134,539","3,453,553","2,891,860","561,693","8,382,777","239,957","151,953","3,588,697","3,178,746","409,951","9,121,611","253,083","145,954",2,0,2010  -  08  -  01,8,3,3,5,8,3,3,6,14,2,5,6,0  개,보험,"10,700",0,0,0,"5,500","2,200","3,000","55,000","65,700","1,980 ",40 ,"23,760 ",2,1
(주)디엔에이글로벌푸드컴퍼니,푸주한,권대윤,기타 외식,2020.11.10,2020.11.13,  -  1544  -  3429,070  -  4046  -  5183,20181071,2018.10.19,2021.03.11,"우 : 06178 서울특별시 강남구 테헤란로 504 4층(대치동, 해성1빌딩)",법인,110111  -  7679206,750  -  86  -  02053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018  -  09  -  01,0,1,0,0,1,0,0,0,0,0,0,0,0  개,예치제,"16,750",0,0,0,"11,000","2,750","3,000","124,850","141,600","2,108 ",99 ,"63,250 ",2,1
