업종,브랜드,가맹사업 년수,가맹점수,"가맹점
평균매출액","합계
(창업비용
지수)",개점률,폐점률
한식,홈쿡,0년 0개월,0,0,"30,800
(.00)",0,0
한식,호랭이 곳간,0년 0개월,0,0,"73,100
(.00)",0,0
한식,선어도,0년 0개월,0,0,"90,800
(.00)",0,0
한식,육육간,0년 5개월,0,0,"136,100
(.00)",0,0
한식,발빠닭,6년 10개월,20,"277,692","43,250
(.00)",40.0,25.0
한식,돼지만,2년 6개월,7,"766,992","168,000
(1.00)",100.0,100.0
한식,대패만,2년 11개월,4,0,"151,500
(.00)",25.0,0.0
한식,갈비만,3년 1개월,7,"1,338,760","283,500
(1.00)",42.86,0.0
한식,육구운본부,0년 0개월,0,0,"38,850
(.00)",0,0
한식,비돈이제돈이,0년 0개월,0,0,"38,850
(.00)",0,0
한식,위대한찜닭,0년 0개월,0,0,"43,500
(.00)",0,0
한식,똥집이야기,0년 0개월,0,0,"59,000
(.00)",0,0
한식,육식청년,0년 0개월,0,0,"52,600
(.00)",0,0
한식,대패막창,0년 0개월,0,0,"52,400
(.00)",0,0
한식,소문난밥상,0년 9개월,0,0,"23,210
(.00)",0,0
한식,아구킹,0년 0개월,0,0,"154,000
(.00)",0,0
한식,유가솜씨닭갈비,0년 7개월,0,0,"117,150
(.00)",0,0
한식,포장맛차,0년 11개월,0,0,"79,800
(.00)",0,0
한식,제줏간,0년 0개월,0,0,"129,200
(.00)",0,0
한식,돈애반해,0년 11개월,0,0,"112,000
(.00)",0,0
한식,한식마을,0년 0개월,0,0,"35,100
(.00)",0,0
한식,한근숯불닭갈비,0년 6개월,0,0,"76,890
(.00)",0,0
한식,특수부돼,0년 0개월,0,0,"78,450
(.00)",0,0
한식,육회에반한꼬막,0년 0개월,0,0,"71,200
(.00)",0,0
한식,바른찌개,1년 1개월,0,0,"79,000
(.00)",0,0
한식,집으로 가는 식당 GO집,0년 0개월,0,0,"28,160
(.00)",0,0
한식,오십이도칼국수,0년 0개월,0,0,"119,469
(.00)",0,0
한식,숯불에구웠삼겹,0년 0개월,0,0,"40,600
(.00)",0,0
한식,혼밥또시락,0년 0개월,0,0,"49,000
(.00)",0,0
한식,회장님댁 국밥,0년 0개월,0,0,"52,160
(.00)",0,0
한식,회장님댁 갑오징어,0년 0개월,0,0,"52,160
(.00)",0,0
한식,고기주택,0년 0개월,0,0,"86,150
(.00)",0,0
한식,고기를사랑하는집,0년 0개월,0,0,"138,300
(.00)",0,0
한식,호구비빔밥&김치찌개,0년 9개월,0,0,"34,890
(.00)",0,0
한식,대국,0년 5개월,0,0,"48,400
(.00)",0,0
한식,뚱보아구찜&해물탕,0년 5개월,0,0,"48,400
(.00)",0,0
한식,이츠닭,0년 0개월,0,0,"37,200
(.00)",0,0
한식,이천가든,0년 0개월,0,0,"72,850
(.00)",0,0
한식,수유땡초닭발,0년 0개월,0,0,"23,660
(.00)",0,0
한식,손찬,0년 0개월,0,0,"150,600
(.00)",0,0
한식,김용덕의 소문난 부자국밥,12년 6개월,40,"183,353","77,900
(.00)",50.0,0.0
한식,오늘게장,0년 0개월,0,0,"35,100
(.00)",0,0
한식,김광석신촌칼국수,0년 0개월,0,0,"80,000
(.00)",0,0
한식,찜닭의정석,0년 0개월,0,0,"58,040
(.00)",0,0
한식,김혜경 제주항통갈치,0년 0개월,0,0,"150,200
(.00)",0,0
한식,눈꽃육회,0년 0개월,0,0,"1,650
(.00)",0,0
한식,조춘식동태탕찜,16년 0개월,8,"135,921","89,350
(.00)",25.0,0.0
한식,라면에주,0년 0개월,0,0,"71,915
(.00)",0,0
한식,양평두물머리 해장국,0년 6개월,0,0,"123,250
(.00)",0,0
한식,육남매,0년 0개월,0,0,"20,400
(.00)",0,0
한식,감성낙곱새,0년 0개월,0,0,"3,300
(.00)",0,0
한식,강순자옛맛김치찌개,4년 2개월,0,0,"46,800
(.00)",0,0
한식,대한민국 고기집,0년 0개월,0,0,"46,350
(.00)",0,0
한식,지즐,2년 2개월,0,0,"49,350
(.00)",0,0
한식,줄벼락,1년 3개월,5,0,"96,940
(.00)",100.0,0.0
한식,백년갈비외 1,0년 0개월,0,0,"132,800
(.00)",0,0
한식,약콩밀면,0년 0개월,0,0,"10,800
(.00)",0,0
한식,강릉장칼국수,0년 0개월,0,0,"120,042
(.00)",0,0
한식,팔도족발,0년 0개월,0,0,"55,360
(.00)",0,0
한식,팔도삼겹살,0년 0개월,0,0,"54,450
(.00)",0,0
한식,LA에서 훔친 갈비,0년 5개월,0,0,"189,120
(1.00)",0,0
한식,뼈대장,0년 0개월,0,0,"92,675
(.00)",0,0
한식,코봉이 해물찜,0년 5개월,0,0,"22,550
(.00)",0,0
한식,배달삼겹 돼지되지,4년 8개월,116,"251,514","24,500
(.00)",24.14,827.59
한식,정성88사골곰탕&육개장,0년 0개월,0,0,"49,300
(.00)",0,0
한식,마왕찜닭도리,0년 0개월,0,0,"49,300
(.00)",0,0
한식,마약돼지김치찌개,0년 0개월,0,0,"49,300
(.00)",0,0
한식,냉면왕,0년 0개월,0,0,"49,300
(.00)",0,0
한식,내가찜한갈비찜,0년 0개월,0,0,"49,300
(.00)",0,0
한식,오복집,0년 5개월,0,0,"13,800,000
(44.00)",0,0
한식,듬박이찌개,0년 7개월,0,0,"41,150
(.00)",0,0
한식,황금곱창,1년 10개월,1,0,"110,600
(.00)",100.0,0.0
한식,청년찌개,0년 0개월,0,0,"14,800
(.00)",0,0
한식,한마음정육식당,4년 8개월,39,"512,633","125,730
(.00)",30.77,107.69
한식,종일가,0년 0개월,0,0,"62,500
(.00)",0,0
한식,쌍교숯불갈비,0년 0개월,0,0,"618,226
(2.00)",0,0
한식,명가 가마솥국밥,0년 0개월,0,0,"31,600
(.00)",0,0
한식,청춘얼큰이,2년 10개월,3,0,"68,700
(.00)",33.33,0.0
한식,곽만근찐주막,0년 0개월,0,0,"84,890
(.00)",0,0
한식,육화미,0년 0개월,0,0,"129,700
(.00)",0,0
한식,고기이불볶음밥,0년 0개월,0,0,"30,217
(.00)",0,0
한식,우겹다짐,0년 5개월,0,0,"35,633
(.00)",0,0
한식,장모님상다리,0년 0개월,0,0,"37,860
(.00)",0,0
한식,설해국,0년 0개월,0,0,"129,050
(.00)",0,0
한식,본가집밥상,0년 0개월,0,0,"42,900
(.00)",0,0
한식,매우당,0년 7개월,0,0,"32,900
(.00)",0,0
한식,구구족,0년 0개월,0,0,"57,800
(.00)",0,0
한식,동태랑,0년 0개월,0,0,"16,000
(.00)",0,0
한식,제주등뼈가,0년 0개월,0,0,"138,600
(.00)",0,0
한식,明(명)가람갈비,0년 0개월,0,0,"144,792
(.00)",0,0
한식,불량꽃게,0년 0개월,0,0,"11,450
(.00)",0,0
한식,동춘돌곱창,1년 3개월,1,0,"67,150
(.00)",100.0,0.0
한식,서해물총칼국수,0년 0개월,0,0,"125,375
(.00)",0,0
한식,석쇠꾼,2년 4개월,16,"262,445","117,400
(.00)",125.0,31.25
한식,김형제고기의철학,2년 5개월,27,"948,717","111,700
(.00)",55.56,0.0
한식,도리삼도리,0년 6개월,0,0,"2,200
(.00)",0,0
한식,급냉삼겹살,0년 0개월,0,0,"75,250
(.00)",0,0
한식,삼남면촌닭,0년 0개월,0,0,"64,400
(.00)",0,0
한식,삼겹식당,0년 0개월,0,0,"150,050
(.00)",0,0
한식,육회왕자연어공주,0년 0개월,0,0,"64,350
(.00)",0,0
한식,둥지닭볶음탕,1년 5개월,0,0,"80,100
(.00)",0,0
한식,불밤매운오징어볶음,0년 6개월,0,0,"0
(.00)",0,0
한식,오륙칼국수,0년 0개월,0,0,"113,100
(.00)",0,0
한식,돼지게티,0년 0개월,0,0,"44,900
(.00)",0,0
한식,불막열삼,6년 5개월,79,"208,789","74,150
(.00)",17.72,8.86
